,case_id,st_cd,naics_code_description,case_violtn_cnt,findings_start_date,findings_end_date,h2a_violtn_cnt,h2a_bw_atp_amt,h2a_ee_atp_cnt,h2a_cmp_assd_amt,ld_dt,start_year,end_year,start_month_int,end_month_int,start_quarter,end_quarter,ld_dt_object,ld_dt_year,ld_dt_month,ld_dt_quarter,total_employment
107449,1734994,NY,Apple Orchards,35,1/5/2014,10/19/2014,17,594.95,16,0.0,2016-02-19 01:00:04 EST,2014,2014,1,10,MAR,DEC,2016-02-19 01:00:04,2016,2,MAR,88
107454,1697230,VA,Tobacco Farming,4,6/21/2011,6/17/2013,4,0.0,0,0.0,2015-02-20 01:00:06 EST,2011,2013,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
107493,1692816,KY,Tobacco Farming,5,5/8/2011,5/7/2013,5,0.0,0,0.0,2015-02-20 01:00:06 EST,2011,2013,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
107510,1381581,NY,Apple Orchards,1,10/12/2002,10/9/2004,1,160.0,1,0.0,2015-02-20 01:00:06 EST,2002,2004,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,87
107518,1729423,NY,Fruit and Tree Nut Combination Farming,24,7/29/2012,7/26/2014,21,2315.27,19,900.0,2015-05-08 01:00:06 EDT,2012,2014,7,7,SEP,SEP,2015-05-08 01:00:06,2015,5,JUN,87
107640,1651011,IA,Fur-Bearing Animal and Rabbit Production,5,3/31/2010,3/28/2012,4,1032.82,1,2550.0,2015-02-20 01:00:06 EST,2010,2012,3,3,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,14
107670,1457626,KY,Tobacco Farming,16,11/17/2004,11/16/2006,16,3802.5,15,2625.0,2015-02-20 01:00:06 EST,2004,2006,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,14
107683,1497112,ME,Apple Orchards,2,11/2/2005,11/1/2007,1,50.4,1,0.0,2015-02-20 01:00:06 EST,2005,2007,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,4
107724,1671829,NY,Apple Orchards,3,10/19/2010,10/18/2012,3,0.0,0,0.0,2015-02-20 01:00:06 EST,2010,2012,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,87
107925,1380763,NY,Apple Orchards,1,8/30/2004,11/15/2004,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2004,8,11,SEP,DEC,2015-02-20 01:00:06,2015,2,MAR,87
107927,1773149,KY,Tobacco Farming,13,5/18/2013,11/21/2015,13,748.57,11,0.0,2016-06-11 02:22:25 EDT,2013,2015,5,11,JUN,DEC,2016-06-11 02:22:25,2016,6,JUN,14
107935,1484165,VA,Tobacco Farming,14,7/9/2005,7/6/2007,14,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
108111,1584181,KY,Tobacco Farming,11,2/23/2009,2/22/2011,11,0.0,0,0.0,2015-02-20 01:00:06 EST,2009,2011,2,2,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,14
108222,1580899,KY,Tobacco Farming,7,5/6/2008,5/5/2010,7,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2010,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
108401,1712792,TX,Vegetable and Melon Farming,3,2/1/2013,11/30/2013,3,0.0,0,3000.0,2016-02-19 01:00:04 EST,2013,2013,2,11,MAR,DEC,2016-02-19 01:00:04,2016,2,MAR,136
108595,1714025,FL,Orange Groves,1,12/2/2013,12/13/2013,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2013,2013,12,12,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,88
108701,1555648,AZ,Grape Vineyards,29,6/1/2008,9/10/2009,29,0.0,0,11200.0,2015-02-20 01:00:06 EST,2008,2009,6,9,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,24
108909,1709249,KY,Tobacco Farming,11,10/29/2011,10/28/2013,11,0.0,0,0.0,2016-02-19 01:00:04 EST,2011,2013,10,10,DEC,DEC,2016-02-19 01:00:04,2016,2,MAR,14
108926,1484144,VA,Tobacco Farming,1,7/7/2005,7/7/2007,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
108932,1763154,NE,All Other Miscellaneous Crop Farming,3,1/1/2015,8/15/2015,3,169.5,1,0.0,2016-02-19 01:00:04 EST,2015,2015,1,8,MAR,SEP,2016-02-19 01:00:04,2016,2,MAR,10
108945,1763983,KY,Tobacco Farming,1,5/1/2013,6/29/2015,1,0.0,0,1500.0,2016-02-19 01:00:04 EST,2013,2015,5,6,JUN,JUN,2016-02-19 01:00:04,2016,2,MAR,14
108991,1531046,FL,Farm Labor Contractors and Crew Leaders,249,10/3/2008,11/14/2008,236,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2008,10,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,88
108994,1549111,NY,Other Vegetable (except Potato) and Melon Farming,3,1/1/2009,7/14/2009,3,0.0,0,0.0,2015-02-20 01:00:06 EST,2009,2009,1,7,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,87
109008,1743029,KY,Landscaping Services,17,4/2/2012,10/26/2014,14,0.0,0,4950.0,2016-02-19 01:00:04 EST,2012,2014,4,10,JUN,DEC,2016-02-19 01:00:04,2016,2,MAR,14
109024,1447763,NC,Tobacco Farming,6,4/1/2006,8/10/2006,6,360.0,6,0.0,2015-02-20 01:00:06 EST,2006,2006,4,8,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,35
109086,1458508,NY,Apple Orchards,18,9/30/2004,9/30/2006,18,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2006,9,9,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,87
109155,1709237,KY,Tobacco Farming,3,5/1/2013,10/30/2013,3,0.0,0,1350.0,2015-02-20 01:00:06 EST,2013,2013,5,10,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,14
109287,1659657,ND,Apiculture,3,7/6/2010,7/5/2012,3,0.0,0,1200.0,2015-02-20 01:00:06 EST,2010,2012,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,2
109294,1703304,FL,Farm Labor Contractors and Crew Leaders,94,7/5/2013,8/14/2013,93,0.0,0,0.0,2015-02-20 01:00:06 EST,2013,2013,7,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,88
109312,1769348,KY,Tobacco Farming,5,12/17/2013,8/25/2015,4,0.0,0,0.0,2016-02-19 01:00:04 EST,2013,2015,12,8,DEC,SEP,2016-02-19 01:00:04,2016,2,MAR,14
109450,1656094,NV,"Agriculture, Construction, and Mining Machinery Manufacturing",14,5/1/2012,7/22/2012,14,5390.43,7,4800.0,2016-02-19 01:00:04 EST,2012,2012,5,7,JUN,SEP,2016-02-19 01:00:04,2016,2,MAR,15
109793,1613724,KY,Tobacco Farming,7,4/15/2009,4/14/2011,6,0.0,0,1800.0,2015-02-20 01:00:06 EST,2009,2011,4,4,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
109930,1526773,KS,"Crop Harvesting, Primarily by Machine",54,1/1/2008,10/15/2008,53,3231.79,14,10575.0,2015-02-20 01:00:06 EST,2008,2008,1,10,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,23
109973,1766388,VA,Tobacco Farming,18,7/22/2013,7/19/2015,18,4851.84,12,0.0,2016-02-19 01:00:04 EST,2013,2015,7,7,SEP,SEP,2016-02-19 01:00:04,2016,2,MAR,26
110255,1631804,VT,Vegetable and Melon Farming,14,10/5/2009,10/6/2011,14,0.0,0,0.0,2015-02-20 01:00:06 EST,2009,2011,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,3
110397,1694154,LA,Rice Farming,1,5/24/2011,5/23/2013,1,0.0,0,600.0,2015-02-20 01:00:06 EST,2011,2013,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,18
110429,1736367,KY,Tobacco Farming,13,7/16/2012,8/27/2014,13,639.87,11,0.0,2015-05-08 01:00:06 EDT,2012,2014,7,8,SEP,SEP,2015-05-08 01:00:06,2015,5,JUN,14
110475,1572968,GA,Other Noncitrus Fruit Farming,5,1/5/2009,2/9/2010,3,0.0,0,500.0,2015-02-20 01:00:06 EST,2009,2010,1,2,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,49
110659,1645469,KY,Horses and Other Equine Production,17,4/17/2010,4/16/2012,17,1620.13,7,9450.0,2015-02-20 01:00:06 EST,2010,2012,4,4,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
110728,1749729,FL,Orange Groves,1,12/2/2014,1/7/2015,1,0.0,0,1800.0,2016-02-19 01:00:04 EST,2014,2015,12,1,DEC,MAR,2016-02-19 01:00:04,2016,2,MAR,86
110734,1759761,LA,Soybean Farming,7,5/5/2013,5/4/2015,7,1219.43,1,4387.5,2016-02-19 01:00:04 EST,2013,2015,5,5,JUN,JUN,2016-02-19 01:00:04,2016,2,MAR,19
110976,1484758,KY,Tobacco Farming,102,6/26/2005,6/25/2007,42,14393.35,40,5000.0,2015-02-20 01:00:06 EST,2005,2007,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
111043,1708966,GA,Grape Vineyards,45,7/5/2013,11/25/2013,45,25143.04,15,0.0,2015-02-20 01:00:06 EST,2013,2013,7,11,SEP,DEC,2015-02-20 01:00:06,2015,2,MAR,49
111191,1525019,ME,Apple Orchards,25,10/25/2006,9/19/2008,25,0.0,0,5000.0,2015-02-20 01:00:06 EST,2006,2008,10,9,DEC,SEP,2015-02-20 01:00:06,2015,2,MAR,4
111403,1444480,MI,Postharvest Crop Activities (except Cotton Ginning),61,10/1/2004,9/30/2006,37,8819.91,22,0.0,2015-02-20 01:00:06 EST,2004,2006,10,9,DEC,SEP,2015-02-20 01:00:06,2015,2,MAR,34
111597,1745144,IN,Tobacco Farming,8,7/20/2014,11/18/2014,6,0.0,0,8700.0,2016-11-02 02:45:59 EDT,2014,2014,7,11,SEP,DEC,2016-11-02 02:45:59,2016,11,DEC,15
111617,1559779,CO,Other Noncitrus Fruit Farming,6,6/12/2008,6/11/2010,6,0.0,0,200.0,2015-02-20 01:00:06 EST,2008,2010,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,23
111652,1662725,TN,Other Vegetable (except Potato) and Melon Farming,143,4/9/2012,7/30/2012,138,19856.79,110,26850.0,2015-02-20 01:00:06 EST,2012,2012,4,7,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,18
111760,1674355,VA,Nursery and Tree Production,8,11/12/2010,11/2/2012,8,0.0,0,0.0,2015-02-20 01:00:06 EST,2010,2012,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,24
111800,1545083,VA,Tobacco Farming,6,6/28/2007,6/18/2009,6,0.0,0,0.0,2015-02-20 01:00:06 EST,2007,2009,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
111840,1663639,AR,Vegetable and Melon Farming,12,5/27/2012,11/18/2012,12,0.0,0,8850.0,2016-11-02 02:45:59 EDT,2012,2012,5,11,JUN,DEC,2016-11-02 02:45:59,2016,11,DEC,16
112023,1726790,NH,Other Food Crops Grown Under Cover,45,7/31/2012,7/31/2014,44,8797.96,18,27300.0,2016-02-19 01:00:04 EST,2012,2014,7,7,SEP,SEP,2016-02-19 01:00:04,2016,2,MAR,10
112085,1622148,LA,Rice Farming,15,6/28/2009,6/27/2011,14,0.0,0,9750.0,2015-02-20 01:00:06 EST,2009,2011,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,18
112184,1077835,VA,Other Vegetable (except Potato) and Melon Farming,691,4/30/1999,8/7/2000,616,0.0,0,0.0,2015-02-20 01:00:06 EST,1999,2000,4,8,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,24
112218,1488304,SC,Tobacco Farming,8,5/1/2007,9/12/2007,7,12360.76,7,1050.0,2015-02-20 01:00:06 EST,2007,2007,5,9,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,14
112606,1586786,VA,Tobacco Farming,6,9/28/2008,8/10/2010,6,1057.0,6,0.0,2015-02-20 01:00:06 EST,2008,2010,9,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
112618,1700333,TN,Other Vegetable (except Potato) and Melon Farming,27,7/24/2011,7/15/2013,25,2760.0,23,0.0,2015-02-20 01:00:06 EST,2011,2013,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,18
112691,1514875,VT,Apple Orchards,5,1/6/2007,4/26/2008,5,2000.0,5,0.0,2015-02-20 01:00:06 EST,2007,2008,1,4,MAR,JUN,2015-02-20 01:00:06,2015,2,MAR,3
112906,1758418,TN,Tobacco Farming,3,1/1/2014,4/20/2015,3,0.0,0,0.0,2016-02-19 01:00:04 EST,2014,2015,1,4,MAR,JUN,2016-02-19 01:00:04,2016,2,MAR,18
112986,1631805,VT,Other Poultry Production,15,11/4/2009,11/3/2011,15,0.0,0,0.0,2015-02-20 01:00:06 EST,2009,2011,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,3
113059,257387,NC,Farm Management Services,156,5/1/1995,12/16/1996,156,0.0,0,156000.0,2015-02-20 01:00:06 EST,1995,1996,5,12,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,35
113168,1482654,KY,Corn Farming,27,6/26/2005,6/25/2007,25,2371.34,25,700.0,2015-02-20 01:00:06 EST,2005,2007,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,14
113210,1707759,MA,Apple Orchards,4,10/28/2011,10/18/2013,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2011,2013,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,17
113223,1521234,NY,Fresh Fruit and Vegetable Merchant Wholesalers,5,7/27/2006,7/30/2008,4,1600.0,2,0.0,2015-02-20 01:00:06 EST,2006,2008,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,87
113400,1503810,CA,Farm Labor Contractors and Crew Leaders,123,11/1/2007,1/26/2008,113,0.0,0,0.0,2015-02-20 01:00:06 EST,2007,2008,11,1,DEC,MAR,2015-02-20 01:00:06,2015,2,MAR,134
113409,1517992,CA,Fruit and Tree Nut Combination Farming,24,2/1/2008,11/30/2008,24,0.0,0,2730.0,2015-02-20 01:00:06 EST,2008,2008,2,11,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,134
113433,1645552,ME,Logging,2,2/23/2010,2/22/2012,2,158.0,2,0.0,2015-02-20 01:00:06 EST,2010,2012,2,2,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,4
113454,1653308,VA,Tobacco Farming,1,5/7/2010,5/3/2012,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2010,2012,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
113700,1580941,NC,Nursery and Tree Production,4,6/28/2008,6/28/2010,4,235.76,1,2500.0,2015-02-20 01:00:06 EST,2008,2010,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,35
113749,1528038,KY,Tobacco Farming,15,11/8/2006,11/7/2008,15,135.13,2,2100.0,2015-02-20 01:00:06 EST,2006,2008,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,14
113751,1686915,KY,Tobacco Farming,10,2/20/2011,4/30/2013,7,1059.13,2,1912.5,2015-02-20 01:00:06 EST,2011,2013,2,4,MAR,JUN,2015-02-20 01:00:06,2015,2,MAR,14
113789,1582490,OH,"Greenhouse, Nursery, and Floriculture Production",3,5/25/2008,5/21/2010,3,1124.66,1,1300.0,2015-02-20 01:00:06 EST,2008,2010,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,29
113851,1766338,VA,Tobacco Farming,3,7/23/2013,7/20/2015,3,0.0,0,0.0,2016-02-19 01:00:04 EST,2013,2015,7,7,SEP,SEP,2016-02-19 01:00:04,2016,2,MAR,26
114092,1411304,VA,Tobacco Farming,1,6/26/2003,6/23/2005,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2003,2005,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
114262,1446471,VA,Tobacco Farming,5,7/19/2004,7/10/2006,5,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2006,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
114273,1621954,NC,Other Vegetable (except Potato) and Melon Farming,12,8/4/2009,8/2/2011,12,0.0,0,0.0,2015-02-20 01:00:06 EST,2009,2011,8,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,35
114449,1446413,NJ,Other Vegetable (except Potato) and Melon Farming,6,4/1/2006,10/12/2006,6,870.52,2,0.0,2015-02-20 01:00:06 EST,2006,2006,4,10,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,35
114483,1526608,PA,Vegetable and Melon Farming,14,10/12/2006,10/12/2008,14,0.0,0,750.0,2015-02-20 01:00:06 EST,2006,2008,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,61
114624,1774625,NY,Apple Orchards,4,4/4/2014,12/15/2015,2,0.0,0,2025.0,2016-06-11 02:22:25 EDT,2014,2015,4,12,JUN,DEC,2016-06-11 02:22:25,2016,6,JUN,87
114752,1631800,NH,Vegetable and Melon Farming,4,10/11/2009,10/2/2011,4,0.0,0,0.0,2015-02-20 01:00:06 EST,2009,2011,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,8
114756,1731178,MS,Berry (except Strawberry) Farming,2,7/9/2012,7/6/2014,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2012,2014,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,16
114959,1599524,CA,Farm Labor Contractors and Crew Leaders,79,4/1/2010,11/30/2010,79,131023.6,77,439950.0,2016-02-19 01:00:04 EST,2010,2010,4,11,JUN,DEC,2016-02-19 01:00:04,2016,2,MAR,137
115009,1776180,TX,"Crop Harvesting, Primarily by Machine",1,12/7/2013,12/5/2015,1,0.0,0,750.0,2016-06-11 02:22:25 EDT,2013,2015,12,12,DEC,DEC,2016-06-11 02:22:25,2016,6,JUN,132
115026,1600039,NY,Apple Orchards,4,10/26/2008,10/26/2010,4,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2010,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,87
115182,1622232,KY,Tobacco Farming,24,7/20/2009,7/19/2011,24,0.0,0,0.0,2015-02-20 01:00:06 EST,2009,2011,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,14
115333,1709253,KY,Tobacco Farming,3,7/16/2011,1/16/2014,3,0.0,0,900.0,2015-02-20 01:00:06 EST,2011,2014,7,1,SEP,MAR,2015-02-20 01:00:06,2015,2,MAR,14
115501,1620373,KY,Tobacco Farming,44,7/19/2009,7/18/2011,42,300.0,1,6600.0,2015-02-20 01:00:06 EST,2009,2011,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,14
115502,1620375,KY,Tobacco Farming,4,7/29/2009,7/28/2011,4,2268.48,2,2700.0,2015-02-20 01:00:06 EST,2009,2011,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,14
115621,1576644,AZ,Farm Labor Contractors and Crew Leaders,73,11/1/2009,4/5/2010,47,4258.88,28,18400.0,2015-02-20 01:00:06 EST,2009,2010,11,4,DEC,JUN,2015-02-20 01:00:06,2015,2,MAR,24
115698,1533536,NY,Grape Vineyards,1,2/16/2008,12/20/2008,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2008,2,12,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,87
115725,1572096,GA,Other Noncitrus Fruit Farming,2,2/22/2008,9/20/2010,2,0.0,0,3400.0,2015-02-20 01:00:06 EST,2008,2010,2,9,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,49
115749,1525406,NY,Apple Orchards,2,5/5/2008,10/27/2008,2,116.4,2,0.0,2015-02-20 01:00:06 EST,2008,2008,5,10,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,87
116236,1620087,IL,All Other Miscellaneous Crop Farming,4,3/1/2013,6/6/2013,3,5978.0,3,1350.0,2015-02-20 01:00:06 EST,2013,2013,3,6,MAR,JUN,2015-02-20 01:00:06,2015,2,MAR,48
116365,1645372,MS,Finfish Farming and Fish Hatcheries,90,3/18/2010,3/8/2012,83,5915.86,29,34650.0,2015-02-20 01:00:06 EST,2010,2012,3,3,MAR,MAR,2015-02-20 01:00:06,2015,2,MAR,16
116475,1703465,KY,Tobacco Farming,44,12/18/2011,12/17/2013,43,0.0,0,12600.0,2015-05-08 01:00:06 EDT,2011,2013,12,12,DEC,DEC,2015-05-08 01:00:06,2015,5,JUN,14
116772,1708988,MS,Vegetable and Melon Farming,6,10/16/2011,10/22/2013,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2011,2013,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,16
116868,1385415,NH,Apple Orchards,4,12/7/2002,11/27/2004,4,2249.5,4,800.0,2015-02-20 01:00:06 EST,2002,2004,12,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,8
117006,1510031,VA,Beef Cattle Ranching and Farming,4,5/6/2006,5/3/2008,3,0.0,0,320.0,2015-02-20 01:00:06 EST,2006,2008,5,5,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
117025,1673780,ID,Wheat Farming,4,1/1/2012,12/31/2012,4,652.6,3,4050.0,2015-04-01 01:00:03 EDT,2012,2012,1,12,MAR,DEC,2015-04-01 01:00:03,2015,4,JUN,4
117033,1703437,VA,Tobacco Farming,12,8/13/2011,8/10/2013,12,0.0,0,0.0,2015-02-20 01:00:06 EST,2011,2013,8,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
117121,1697240,VA,Tobacco Farming,2,6/22/2011,6/19/2013,2,0.0,0,0.0,2015-02-20 01:00:06 EST,2011,2013,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
117365,1622133,LA,Sugarcane Farming,16,8/16/2009,8/15/2011,15,0.0,0,600.0,2015-02-20 01:00:06 EST,2009,2011,8,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,18
117380,1143463,ID,Sheep Farming,4,10/1/2000,10/25/2001,4,11000.0,2,4000.0,2015-02-20 01:00:06 EST,2000,2001,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,5
117482,1600329,NY,Apple Orchards,4,10/22/2008,10/21/2010,4,558.79,2,0.0,2015-02-20 01:00:06 EST,2008,2010,10,10,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,87
117684,1405190,TN,Strawberry Farming,23,3/25/2005,5/11/2005,21,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2005,3,5,MAR,JUN,2015-02-20 01:00:06,2015,2,MAR,18
117728,1484143,VA,Tobacco Farming,1,7/18/2005,7/8/2007,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
117780,1583368,PA,Forest Nurseries and Gathering of Forest Products,4,7/6/2008,6/27/2010,4,0.0,0,900.0,2015-02-20 01:00:06 EST,2008,2010,7,6,SEP,JUN,2015-02-20 01:00:06,2015,2,MAR,61
117823,1676105,KY,Tobacco Farming,49,4/20/2010,1/15/2013,49,9677.41,20,17775.0,2015-02-20 01:00:06 EST,2010,2013,4,1,JUN,MAR,2015-02-20 01:00:06,2015,2,MAR,14
118032,1439586,KY,Horses and Other Equine Production,7,7/15/2004,7/7/2006,7,966.95,2,650.0,2015-02-20 01:00:06 EST,2004,2006,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,14
118082,1589246,AR,Other Noncitrus Fruit Farming,37,3/20/2010,7/24/2010,35,0.0,0,0.0,2015-02-20 01:00:06 EST,2010,2010,3,7,MAR,SEP,2015-02-20 01:00:06,2015,2,MAR,16
118089,1484148,VA,Tobacco Farming,32,7/17/2005,7/17/2007,32,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2007,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,24
118397,1628999,KS,"Crop Harvesting, Primarily by Machine",21,8/23/2009,8/20/2011,21,777.56,7,7200.0,2015-02-20 01:00:06 EST,2009,2011,8,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,23
118628,1659158,LA,Shellfish Farming,11,6/19/2010,6/18/2012,11,1800.0,10,6600.0,2015-02-20 01:00:06 EST,2010,2012,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,18
118726,1665740,NJ,All Other Miscellaneous Crop Farming,44,12/11/2010,12/11/2012,39,116037.22,30,39150.0,2015-02-20 01:00:06 EST,2010,2012,12,12,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,35
118760,1554775,OK,Corn Farming,9,9/1/2008,8/27/2010,8,0.0,0,0.0,2015-02-20 01:00:06 EST,2008,2010,9,8,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,16
118764,1587096,KY,Landscape Architectural Services,8,5/17/2009,11/19/2009,8,0.0,0,800.0,2015-02-20 01:00:06 EST,2009,2009,5,11,JUN,DEC,2015-02-20 01:00:06,2015,2,MAR,14
118786,1691232,VT,Noncitrus Fruit and Tree Nut Farming,1,4/11/2011,4/10/2013,1,0.0,0,0.0,2015-02-20 01:00:06 EST,2011,2013,4,4,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,3
118798,1494619,UT,Chicken Egg Production,16,11/9/2005,11/7/2007,16,13500.18,16,0.0,2015-02-20 01:00:06 EST,2005,2007,11,11,DEC,DEC,2015-02-20 01:00:06,2015,2,MAR,13
118916,1410862,TN,Tobacco Farming,4,5/7/2005,7/30/2005,4,0.0,0,750.0,2015-02-20 01:00:06 EST,2005,2005,5,7,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,18
118928,1446416,VA,Tobacco Farming,4,6/26/2004,6/26/2006,4,0.0,0,0.0,2015-02-20 01:00:06 EST,2004,2006,6,6,JUN,JUN,2015-02-20 01:00:06,2015,2,MAR,24
118995,1631224,MD,Other Farm Product Raw Material Merchant Wholesalers,18,3/14/2010,12/15/2011,8,432.0,7,11850.0,2015-02-20 01:00:06 EST,2010,2011,3,12,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,22
119121,1776022,TN,Tobacco Farming,1,12/11/2013,12/9/2015,1,0.0,0,0.0,2016-06-11 02:22:25 EDT,2013,2015,12,12,DEC,DEC,2016-06-11 02:22:25,2016,6,JUN,20
119182,1633806,PA,Apple Orchards,2,3/15/2011,11/15/2011,1,548.69,1,0.0,2015-02-20 01:00:06 EST,2011,2011,3,11,MAR,DEC,2015-02-20 01:00:06,2015,2,MAR,61
119186,1763743,WA,Apple Orchards,2,3/8/2015,10/31/2015,2,0.0,0,0.0,2016-06-11 02:22:25 EDT,2015,2015,3,10,MAR,DEC,2016-06-11 02:22:25,2016,6,JUN,19
119213,1651356,TX,Other Vegetable (except Potato) and Melon Farming,17,2/1/2011,6/1/2012,16,0.0,0,12000.0,2015-02-20 01:00:06 EST,2011,2012,2,6,MAR,JUN,2015-02-20 01:00:06,2015,2,MAR,130
119232,1406859,NY,Landscaping Services,12,4/10/2005,7/10/2005,9,0.0,0,0.0,2015-02-20 01:00:06 EST,2005,2005,4,7,JUN,SEP,2015-02-20 01:00:06,2015,2,MAR,87
119268,1655860,KY,Tobacco Farming,19,7/13/2010,7/12/2012,17,0.0,0,0.0,2015-02-20 01:00:06 EST,2010,2012,7,7,SEP,SEP,2015-02-20 01:00:06,2015,2,MAR,14
